endpoint	stratum	holdout	train_cohorts	candidate	candidate_family	selection_mode	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	performance_score	bio_prior_cosine	bio_sign_agreement	bio_compactness_bonus	bio_objective_bonus	selection_score	selected_candidate
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_myeloid_suppression	single_module_drop	no_bio_objective	0.6814495446074393	0.12090268180958726	0.6097212408149602	0.5986314854735908	0.2271849652271296	0.6778241572737518	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6778241572737518	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_stromal_exclusion	single_module_drop	no_bio_objective	0.6815219867851446	0.12915543621591424	0.6024833672069924	0.6001183027498816	0.21930717037596528	0.6743024449789861	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6743024449789861	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_trm_tls	single_module_drop	no_bio_objective	0.710367994578521	0.1192718540153578	0.6277653657914479	0.6225236751552541	0.252930410723907	0.7066952262991635	0.9851843661437778	0.8571428571428571	0.0	0.11310046357721651	0.7066952262991635	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior	prior	bio_objective	0.5940018315018315	0.053732902652584104	0.5919310143351496	0.5492979242979243	0.15965219964307512	0.6298455478774894	0.9999999999999999	1.0	0.0	0.12	0.7498455478774894	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior_strong_suppression	prior_perturbation	bio_objective	0.6154456654456654	0.04272291821725969	0.6064441486367865	0.5298534798534799	0.19044246153280261	0.6526549259634677	0.9457924331331943	1.0	0.0	0.11566339465065553	0.7683183206141233	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	bio_prior_no_exhaustion	prior_perturbation	bio_objective	0.5852106227106227	0.04835192296051812	0.5774280542271171	0.5492979242979243	0.17847872507755932	0.6194705541063378	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.7325710176835543	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	response_equal_resistance_negative	ecology_symmetric	bio_objective	0.6026556776556776	0.04487634224796425	0.6042895914036467	0.5181013431013431	0.1886310594954054	0.6382568739028164	0.90748521297303	1.0	0.0	0.11259881703784241	0.7508556909406587	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	response_equal_no_resistance	response_only	bio_objective	0.5564102564102563	0.054874191177006905	0.5717864621255365	0.48498168498168504	0.15819774813909362	0.5866712290625267	0.7669649888473703	0.7142857142857143	1.0	0.1099286276792182	0.6965998567417448	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	ifn_only	single_axis	bio_objective	0.5061660561660561	0.08099302474928666	0.52988265587524	0.5765873015873016	0.176029549469333	0.521082742037902	0.6859943405700353	0.14285714285714285	1.0	0.08059383295988853	0.6016765749977905	bio_prior_strong_suppression
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	GSE91061,GSE78220,GSE145996	ifn_apm_cyto	response_axis	bio_objective	0.5638431013431013	0.03658606054778419	0.5805506353655673	0.5482295482295482	0.1559812550905182	0.6076194237536657	0.8463182721583792	0.5714285714285714	1.0	0.1105626046298132	0.7181820283834789	bio_prior_strong_suppression
