AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	cohort	model_name	variant	calibration	threshold	train_cohorts	n_samples	n_responders	n_nonresponders
0.6923076923076923	0.7638877934930566	0.5824175824175823	0.5925925925925926	0.19810721293758182	0.6857142857142857	0.8571428571428571	0.3076923076923077	0.5714285714285714	0.6666666666666666	0.2159977712558175	0.1325016710714733	1.0431773888678444	0.11436586592381022	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-NoResponseModules	no_response_modules	raw_sigmoid	0.3680777575267896	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.467032967032967	0.5038309646063045	0.4807692307692308	0.48148148148148145	-0.038461538461538464	0.5	0.5	0.46153846153846156	0.5	0.46153846153846156	0.28484267855311113	0.236552813818829	-0.3361036912674164	0.044397189571137675	primary_recist	melanoma_core_high_evidence	GSE78220	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	training_only_platt	0.47674799752428676	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.48901098901098905	0.5346884525290098	0.478021978021978	0.48148148148148145	-0.04469901562676742	0.5333333333333333	0.5714285714285714	0.38461538461538464	0.5	0.45454545454545453	0.29350058199397067	0.2113373170827263	-0.1155140454482163	0.06101529988771138	primary_recist	melanoma_core_high_evidence	GSE78220	IFNG_ModuleOnly	ifn_only	training_only_platt	0.4043371335787442	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.5384615384615384	0.5568185796381285	0.5851648351648352	0.5925925925925926	0.18638210221950421	0.6666666666666666	0.7857142857142857	0.38461538461538464	0.5789473684210527	0.625	0.2723264280935248	0.19958510173008806	0.10378490208334741	0.08619885447074127	primary_recist	melanoma_core_high_evidence	GSE78220	ResponseModulesEqualWeight	response_modules_only_equal	training_only_platt	0.3919332441892766	GSE91061,PRJEB23709_PD1_PRE	27	14	13
0.8755980861244019	0.8331876911765292	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.1463994372895915	0.2213819619490431	0.7739163054922703	-0.12331167315888543	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-AlignedPanelNoCalibration	full	raw_sigmoid	0.7106589134139443	GSE91061,GSE78220	41	19	22
0.8755980861244019	0.8331876911765292	0.7212918660287082	0.7317073170731707	0.46541211876427413	0.6666666666666666	0.5789473684210527	0.8636363636363636	0.7857142857142857	0.7037037037037037	0.20033360385468568	0.22275678987980188	4.541936876211079	-0.012613437393706897	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-AlignedPanelCalibrated	full	training_only_platt	0.5321556593934782	GSE91061,GSE78220	41	19	22
0.8373205741626794	0.7969244615501991	0.7882775119617225	0.7804878048780488	0.5835778775204306	0.7906976744186046	0.8947368421052632	0.6818181818181818	0.7083333333333334	0.8823529411764706	0.21693938768141022	0.2246750822014039	5.886195205564307	-0.11056778228509045	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	training_only_platt	0.46825662850582206	GSE91061,GSE78220	41	19	22
0.5311004784688995	0.5025178796945056	0.5586124401913876	0.5609756097560976	0.11722488038277512	0.5263157894736842	0.5263157894736842	0.5909090909090909	0.5263157894736842	0.5909090909090909	0.25085054911541194	0.05707700259304755	0.33561811339668424	-0.14333905326576454	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-NoResponseModules	no_response_modules	training_only_platt	0.4969765362882401	GSE91061,GSE78220	41	19	22
0.7918660287081338	0.7368701101673236	0.5418660287081339	0.5121951219512195	0.14071780294141165	0.6428571428571429	0.9473684210526315	0.13636363636363635	0.4864864864864865	0.75	0.23456888149943844	0.27604200972206777	8.712579125250317	-0.17168124599760812	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	training_only_platt	0.4597745257888362	GSE91061,GSE78220	41	19	22
0.8421052631578947	0.7952487513918882	0.55622009569378	0.5853658536585366	0.1889639068070385	0.2608695652173913	0.15789473684210525	0.9545454545454546	0.75	0.5675675675675675	0.22546491840519423	0.26607054360844434	8.863713031345151	-0.09163737809481641	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	IFNG_ModuleOnly	ifn_only	training_only_platt	0.551529812173436	GSE91061,GSE78220	41	19	22
