candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.35*base+0.65*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD)	0.7715273412947832	0.6992237965455167	0.6855751099937146	0.7045492519176729	0.5604395604395604	117	43	74
0.35*base+0.65*(0.35*pct__PLA2G2D+0.65*z__PIK3CD)	0.7715273412947832	0.6992237965455167	0.6855751099937146	0.7045492519176729	0.5604395604395604	117	43	74
0.80*base+0.20*(0.20*pct__PLA2G2D+0.80*pct__PIK3CD)	0.7715273412947832	0.6758931543976243	0.7118164676304211	0.7368719000297949	0.6813186813186813	117	43	74
0.65*base+0.35*(0.65*pct__PLA2G2D+0.35*pct__PIK3CD)	0.7715273412947832	0.6681602807876352	0.6345065996228787	0.7326515589673485	0.6428571428571428	117	43	74
0.80*base+0.20*(0.20*rz__PLA2G2D+0.80*pct__PIK3CD)	0.7708988057825267	0.6749249188338968	0.7234443746071653	0.7440185545448702	0.6978021978021978	117	43	74
0.50*base+0.50*(0.20*rz__PLA2G2D+0.80*rz__PIK3CD)	0.7702702702702703	0.7070826867048631	0.6439346323067253	0.7143517301412038	0.598901098901099	117	43	74
0.50*base+0.50*(0.20*rz__PLA2G2D+0.80*z__PIK3CD)	0.7702702702702703	0.7070826867048631	0.6439346323067253	0.7143517301412038	0.598901098901099	117	43	74
0.80*base+0.20*(0.20*z__PLA2G2D+0.80*pct__PIK3CD)	0.7702702702702703	0.6734051302274533	0.7234443746071653	0.743221106379001	0.6978021978021978	117	43	74
0.50*base+0.50*(0.50*z__PLA2G2D+0.50*rz__PIK3CD)	0.7702702702702703	0.672324821263431	0.647705845380264	0.713955050797156	0.5989010989010989	117	43	74
0.50*base+0.50*(0.50*z__PLA2G2D+0.50*z__PIK3CD)	0.7702702702702703	0.672324821263431	0.647705845380264	0.713955050797156	0.5989010989010989	117	43	74
0.50*base+0.50*(0.35*z__PLA2G2D+0.65*rz__PIK3CD)	0.7702702702702702	0.7060089938602555	0.647705845380264	0.7133100817311343	0.5879120879120878	117	43	74
0.50*base+0.50*(0.35*z__PLA2G2D+0.65*z__PIK3CD)	0.7702702702702702	0.7060089938602555	0.647705845380264	0.7133100817311343	0.5879120879120878	117	43	74
0.50*base+0.50*(0.20*pct__PLA2G2D+0.80*rz__PIK3CD)	0.7699560025141421	0.7066315900532308	0.6371778755499686	0.7159466264729422	0.5989010989010989	117	43	74
0.50*base+0.50*(0.20*pct__PLA2G2D+0.80*z__PIK3CD)	0.7699560025141421	0.7066315900532308	0.6371778755499686	0.7159466264729422	0.5989010989010989	117	43	74
0.50*base+0.50*(0.35*rz__PLA2G2D+0.65*rz__PIK3CD)	0.7699560025141421	0.6744929230166541	0.6544626021370208	0.7101202890676573	0.5879120879120878	117	43	74
0.50*base+0.50*(0.35*rz__PLA2G2D+0.65*z__PIK3CD)	0.7699560025141421	0.6744929230166541	0.6544626021370208	0.7101202890676573	0.5879120879120878	117	43	74
0.65*base+0.35*(0.80*z__PLA2G2D+0.20*rz__PIK3CD)	0.7699560025141421	0.6611218470371525	0.6304211187932118	0.7259477364740522	0.6538461538461539	117	43	74
0.65*base+0.35*(0.80*z__PLA2G2D+0.20*z__PIK3CD)	0.7699560025141421	0.6611218470371525	0.6304211187932118	0.7259477364740522	0.6538461538461539	117	43	74
0.50*base+0.50*(0.65*rz__PLA2G2D+0.35*rz__PIK3CD)	0.769956002514142	0.6587763140751601	0.6488057825267128	0.7118069065437487	0.6098901098901099	117	43	74
0.50*base+0.50*(0.65*rz__PLA2G2D+0.35*z__PIK3CD)	0.769956002514142	0.6587763140751601	0.6488057825267128	0.7118069065437487	0.6098901098901099	117	43	74
0.50*base+0.50*(0.65*z__PLA2G2D+0.35*rz__PIK3CD)	0.7690131992457574	0.664191791002446	0.6352922690131992	0.7110094583778794	0.6098901098901099	117	43	74
