endpoint	stratum	candidate	weight_base	component_method	component_gene	selection_boundary	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*pct__SIRPG	0.5	pct	SIRPG	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.6599069462081386	0.6104651162790697	0.6837606837606838	0.3231189772830118	0.5747126436781609	0.5813953488372093	0.7432432432432432	0.5681818181818182	0.7534246575342466	0.19072912547931212	0.11905746430980846	0.6509040364197459	-0.40714554434267036
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*rz__PTTG2	0.35	rz	PTTG2	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.5729859895728904	0.6566624764299183	0.6752136752136753	0.2603835133307979	0.4722222222222222	0.3953488372093023	0.8378378378378378	0.5862068965517241	0.7045454545454546	0.21843196645381568	0.19372296467958322	0.18617589456253253	-0.36802985875255395
primary_recist	melanoma_core_high_evidence	0.20*base+0.80*pct__SNRPD2P2	0.2	pct	SNRPD2P2	selected_by_primary_lodo_only	117	43	74	0.7658705216844751	0.71996873695598	0.6990886235072282	0.4358974358974359	0.11717663002501001	0.547945205479452	0.9302325581395349	0.14864864864864866	0.3883495145631068	0.7857142857142857	0.42078438452904193	0.451256769558708	0.20007897410761313	-0.8878258071809497
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__TBX21	0.5	z	TBX21	selected_by_primary_lodo_only	117	43	74	0.7658705216844751	0.6650933409517353	0.6112507856693903	0.6837606837606838	0.2651646448374729	0.3508771929824561	0.23255813953488372	0.9459459459459459	0.7142857142857143	0.6796116504854369	0.19277428712162592	0.08642305562985843	0.8559244272394969	0.23489456555083635
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__DIAPH1	0.65	rz	DIAPH1	selected_by_primary_lodo_only	117	43	74	0.7658705216844751	0.6588730662857136	0.6923318667504714	0.7264957264957265	0.38258542888846825	0.5	0.37209302325581395	0.9324324324324325	0.7619047619047619	0.71875	0.18719500667149783	0.07955054571684486	0.3324537240240087	-0.36547901205740885
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__C12orf42	0.5	rz	C12orf42	selected_by_primary_lodo_only	117	43	74	0.7658705216844751	0.6359188991092966	0.6847894406033941	0.6837606837606838	0.264567572140953	0.39344262295081966	0.27906976744186046	0.918918918918919	0.6666666666666666	0.6868686868686869	0.19544064775594008	0.15104972087164498	0.37528627558596955	-0.2022073971710663
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__IL12RB1	0.65	rz	IL12RB1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6764979617323862	0.6450345694531741	0.7008547008547008	0.323751137079498	0.5205479452054794	0.4418604651162791	0.8513513513513513	0.6333333333333333	0.7241379310344828	0.18550073846483509	0.10358807693064549	0.9594379405662106	-0.07580165718053782
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__IL12RB1	0.65	z	IL12RB1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6764979617323862	0.6450345694531741	0.7008547008547008	0.323751137079498	0.5205479452054794	0.4418604651162791	0.8513513513513513	0.6333333333333333	0.7241379310344828	0.18550073767157244	0.10358807657273067	0.9594379594315028	-0.07580165178864487
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*z__CYLC1	0.8	z	CYLC1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6537182488287725	0.6653048397234445	0.7264957264957265	0.3924584217303588	0.5897435897435898	0.5348837209302325	0.8378378378378378	0.6571428571428571	0.7560975609756098	0.1911039870235853	0.10260339807675374	0.3350573573422241	-0.44000170120394816
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*z__MAP4K1	0.8	z	MAP4K1	selected_by_primary_lodo_only	117	43	74	0.7655562539283469	0.6522511846977499	0.7118164676304211	0.7350427350427351	0.40272150409312446	0.5507246376811594	0.4418604651162791	0.9054054054054054	0.7307692307692307	0.7362637362637363	0.18743036832949	0.07465065835891303	0.3619801213301493	-0.365831365177641
