context_id	context_type	source_context	endpoint	model_name	bin	prob_low	prob_high	n	prob_mean	event_rate
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	3.0	0.2564058160170752	0.0
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	5.0	0.3650437407006148	0.0
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	6.0	0.4630675599455329	0.3333333333333333
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	3.0	0.5225065838862335	0.6666666666666666
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	5.0	0.6475347859904992	0.2
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	2.0	0.7343181802213963	0.5
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	1.0	0.1708025191702398	1.0
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	9.0	0.26504862335790824	0.2222222222222222
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	11.0	0.3505713346907144	0.2727272727272727
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	17.0	0.45978676740638585	0.23529411764705882
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	10.0	0.5477030585254188	0.3
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	10.0	0.6558712154616796	0.2
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	7.0	0.7545225011111071	0.7142857142857143
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|primary_recist|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	6.0	0.24860808042028462	0.5
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	3.0	0.374083130240958	0.6666666666666666
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	4.0	0.4383717441478814	0.75
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	5.0	0.5703302630096012	0.8
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	4.0	0.6489560227033981	1.0
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	5.0	0.7420314694367501	1.0
locked_external|strict_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	strict_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
