target_gene	drug_name	drug_concept_id	interaction_types	sources	pmids	status
ITGB7	FIRATEGRAST	ncit:C76692	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
IL10	PEGILODECAKIN	ncit:C113295		TTD		DGIdb_evidence
GZMB	HEXACHLOROPHENE	rxcui:5293		DTC	19633659	DGIdb_evidence
IFNG	GANCICLOVIR	rxcui:4678		NCI	2992368	DGIdb_evidence
CD3E	FORALUMAB	ncit:C95785	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
PDCD1	AUNP-12	drugbank:DB15771		TTD		DGIdb_evidence
PDCD1	CS-1003	chembl:CHEMBL4594536	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
PDCD1	ZIMBERELIMAB	ncit:C159549	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3E	CANAGLIFLOZIN	rxcui:1373458	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-A	TEBENTAFUSP	rxcui:2590743		PharmGKB		DGIdb_evidence
CD3D	EMPAGLIFLOZIN	rxcui:1545653	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3D	ELRANATAMAB	rxcui:2644880	binder:None	ChEMBL		DGIdb_evidence
HLA-B	VELIMOGENE ALIPLASMID	ncit:C170392		TTD		DGIdb_evidence
HLA-A	TERBINAFINE	rxcui:37801		PharmGKB	28043905	DGIdb_evidence
HAVCR2	COBOLIMAB	ncit:C128627	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
AXL	GLESATINIB	ncit:C77876		TTD		DGIdb_evidence
HLA-B	MEASLES VACCINE	wikidata:Q6804161		PharmGKB	12507820;15121303	DGIdb_evidence
HLA-A	DOXEPIN HYDROCHLORIDE	rxcui:203179		PharmGKB		DGIdb_evidence
TGFB1	FRESOLIMUMAB	ncit:C63546	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
CD3D	TALQUETAMAB	rxcui:2644447	binder:None	ChEMBL		DGIdb_evidence
TGFB1	GENISTEIN	rxcui:25696		NCI	12580099	DGIdb_evidence
PDCD1	PIMIVALIMAB	ncit:C157485	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
AXL	UNC8969	iuphar.ligand:13302	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	LINIFANIB	ncit:C71759		DTC		DGIdb_evidence
AXL	ADRIXETINIB	iuphar.ligand:12375	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
TGFB1	TESTOSTERONE	rxcui:10379		NCI	9288184	DGIdb_evidence
CD3E	TOFOGLIFLOZIN ANHYDROUS	ncit:C152676	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
CD3D	IPRAGLIFLOZIN	ncit:C166685	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	METHIMAZOLE	rxcui:6835		PharmGKB	26151496;26599303	DGIdb_evidence
AXL	SORAFENIB	rxcui:495881		DTC		DGIdb_evidence
HLA-B	CLINDAMYCIN	rxcui:2582		PharmGKB	27527109	DGIdb_evidence
TGFB1	IDOXURIDINE	rxcui:5653		NCI	1313063	DGIdb_evidence
TGFB1	RETINOIC ACID AGENT	ncit:C804		NCI	8940178	DGIdb_evidence
PDCD1	SINTILIMAB	ncit:C132992	inhibitor:INHIBITORY	ChEMBL;TTD		DGIdb_evidence
TGFB1	EMODIN	ncit:C466		NCI	11887862	DGIdb_evidence
TGFB1	DOXORUBICIN HYDROCHLORIDE	rxcui:142433		NCI	12956904	DGIdb_evidence
HLA-B	LAMIVUDINE	rxcui:68244		PharmGKB	25361850	DGIdb_evidence
AXL	DUBERMATINIB	ncit:C127116	inhibitor:INHIBITORY	GuideToPharmacology;TTD		DGIdb_evidence
AXL	SITRAVATINIB	ncit:C117734	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
HLA-B	OXCARBAZEPINE	rxcui:32624		FDA		DGIdb_evidence
HLA-A	TRIMIPRAMINE	rxcui:10834		PharmGKB		DGIdb_evidence
