endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	selection_score
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C1	0.5076923076923077	0.5528244080203247	0.4645524765089983	0.5585611519187739
strict_recist	melanoma_core_high_evidence	GSE91061	module_prior_composite	0.7386495083863505	0.7321301023557244	0.6610486552920763	0.8083084462687404
strict_recist	melanoma_core_high_evidence	GSE91061	module_positive_composite	0.6623228744939271	0.6847194409644892	0.7035316657027183	0.7317354298272876
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C0.05	0.5	0.5306878306878307	0.5	0.5515343915343915
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C0.25	0.5257554945054945	0.5540980077320605	0.5205772845575477	0.579489259119975
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l1_C1	0.5762543377674956	0.5971710066512272	0.5409015326778485	0.6331579647339494
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C0.05	0.5762904858299596	0.5767010198816136	0.5933342972816658	0.6347922516881235
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C0.25	0.5724587912087912	0.5763666073180738	0.5697657605552342	0.6297654096024565
strict_recist	melanoma_core_high_evidence	GSE91061	module_logistic_l2_C1	0.5894845286292654	0.5905819405996562	0.5658436957779063	0.6473058104481435
strict_recist	melanoma_core_high_evidence	GSE78220	module_prior_composite	0.7405606407322655	0.7069068060951906	0.5966604691075514	0.8057390044924025
strict_recist	melanoma_core_high_evidence	GSE78220	module_positive_composite	0.7213529748283752	0.7233339606692345	0.5737843249427919	0.7862088891089766
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C0.05	0.5	0.42294372294372296	0.5	0.5461471861471862
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C0.25	0.7126573226544622	0.7000902586716488	0.5276101258581236	0.7740423418809509
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l1_C1	0.7081950800915331	0.6623793248804599	0.5945509153318078	0.7710415921021465
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C0.05	0.7235840961098399	0.6982798121746835	0.5653818649885584	0.7867671799680019
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C0.25	0.7012013729977116	0.6832674588651029	0.6206879290617848	0.7663991423940559
strict_recist	melanoma_core_high_evidence	GSE78220	module_logistic_l2_C1	0.6835812356979405	0.6715430178726057	0.5859696796338673	0.7464568705732642
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_prior_composite	0.6502627806975634	0.6058492172743859	0.6393334925943621	0.7125219161910008
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_positive_composite	0.5974916387959865	0.5954330993428738	0.5247133301481128	0.6534989602705359
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C0.05	0.5	0.4107744107744108	0.5	0.5455387205387205
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C0.25	0.47412804586717633	0.468631107061801	0.4925704730052556	0.5221881248705291
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l1_C1	0.490157668418538	0.4494930580919283	0.46171763019589107	0.5357182028329289
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C0.05	0.4924510272336359	0.4604542121534266	0.49319159101767795	0.5401333173921912
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C0.25	0.4380793119923555	0.42963071391275054	0.4614787386526517	0.48263478462062565
strict_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	module_logistic_l2_C1	0.3853081700907788	0.40813077589505886	0.4098781653129479	0.42620861715117914
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_prior_composite	0.6809178540757488	0.6820114573008813	0.6688011768932821	0.7484584857854569
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_positive_composite	0.634154643602012	0.6606372954054639	0.5954293951662373	0.6969579781305971
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l1_C0.05	0.5	0.5125220458553792	0.5	0.550626102292769
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l1_C0.25	0.6228543912228123	0.6109199754566261	0.5813213979003452	0.6824664598906608
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l1_C1	0.6108071928071928	0.6004750160879483	0.6047851709693816	0.6710702021600593
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l2_C0.05	0.6373340694393327	0.6371921464461553	0.62077001945423	0.700232177734352
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l2_C0.25	0.6283407732618259	0.6223401060820035	0.6154897733845103	0.6902322672351516
strict_recist	melanoma_core_plus_phs000452	GSE91061	module_logistic_l2_C1	0.5927707467970625	0.6016311335948773	0.5828103475471896	0.6519928208541659
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_prior_composite	0.6821919423063587	0.6651959264605254	0.567880868178351	0.7438457820383025
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_positive_composite	0.6735080438249774	0.6863803085419606	0.528797066777616	0.7342669125909562
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_logistic_l1_C0.05	0.5	0.44069264069264075	0.5	0.5470346320346321
strict_recist	melanoma_core_plus_phs000452	GSE78220	module_logistic_l1_C0.25	0.6704994452534497	0.6672091104795456	0.5766807086887179	0.7326939362118629
