endpoint	stratum	model_name	threshold	net_benefit	treat_all_net_benefit	treat_none_net_benefit	net_benefit_vs_treat_all	net_benefit_vs_treat_none	n_samples	prevalence
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.85	-0.058333333333333334	-2.1249999999999996	0.0	2.0666666666666664	-0.058333333333333334	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.9	0.0125	-3.687500000000001	0.0	3.700000000000001	0.0125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.95	0.0	-8.374999999999991	0.0	8.374999999999991	0.0	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.1	0.4791666666666667	0.4791666666666667	0.0	0.0	0.4791666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.15	0.4540441176470588	0.44852941176470584	0.0	0.005514705882352977	0.4540441176470588	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.2	0.40625	0.4140625	0.0	-0.0078125	0.40625	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.25	0.33958333333333335	0.375	0.0	-0.03541666666666665	0.33958333333333335	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.3	0.2580357142857143	0.33035714285714285	0.0	-0.07232142857142854	0.2580357142857143	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.35	0.20817307692307693	0.27884615384615385	0.0	-0.07067307692307692	0.20817307692307693	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.4	0.17291666666666664	0.21874999999999994	0.0	-0.04583333333333331	0.17291666666666664	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.45	0.13522727272727275	0.14772727272727276	0.0	-0.012500000000000011	0.13522727272727275	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ModuleIFNConsensus	0.5	0.08125000000000002	0.0625	0.0	0.018750000000000017	0.08125000000000002	160	0.53125
