holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE78220	signed_CYT	0.5597800925925925	0.41679748780793846	0.5933333333333334	0.5349294212714583	0.6102866336496561
GSE78220	signed_PDCD1	0.5398272156084656	0.3889974949132586	0.6000000000000001	0.521014285592177	0.5892770903541286
GSE78220	signed_TLS	0.5331266534391534	0.42128518401050724	0.5466666666666666	0.5429461459183171	0.5815242459730121
GSE78220	signed_MCP_fibroblast	0.46313657407407405	0.3115223974575746	0.5266666666666666	0.21192057015392116	0.5050460272802861
GSE78220	signed_MPS	0.49576719576719575	0.33443330697048723	0.54	0.39418087540459273	0.5394888611157201
GSE78220	signed_IPRES	0.3538525132275132	0.29896195221810984	0.5066666666666666	0.17163889605247656	0.394133944171752
GSE78220	signed_C_ECM	0.3722304894179894	0.28114886816119783	0.52	0.16887785568272204	0.4122879328260493
GSE78220	signed_TIDE_exclusion	0.37446263227513227	0.27766233153130154	0.5266666666666666	0.21811369011235468	0.4146790821850307
GSE78220	signed_ESCS	0.381208664021164	0.2953470275570391	0.5466666666666666	0.2696747319899214	0.42330934873234927
GSE91061	immune_top5	0.642825345950346	0.5149521217080791	0.6291304347826088	0.3881735584367792	0.7000294737748805
GSE91061	tcell_checkpoint	0.6233815374440375	0.5055137804146532	0.6208695652173912	0.42279642038963483	0.6797007047256396
GSE91061	immune_mean	0.6031803266178266	0.4910538426209894	0.6208695652173913	0.5328290109978059	0.6587764970097457
GSE91061	top5_minus_stroma_myeloid	0.5399737993487993	0.42105321698626363	0.5921739130434782	0.33666983459097805	0.5906351558502865
GSE91061	immune_minus_suppressive	0.5205834096459097	0.41125777963944954	0.5860869565217391	0.5608045540778775	0.570450646453969
GSE91061	suppression_inverse	0.3800722425722426	0.37910678036571116	0.5452173913043479	0.3681836261476265	0.42628845115574554
GSE91061	signed_TIG	0.6174749440374441	0.47758704917334577	0.6434782608695653	0.3734294324455425	0.6735282095395897
GSE91061	signed_TIDE_dysfunction	0.6037320029507529	0.49140583327559256	0.6517391304347826	0.4016764672588129	0.6608892511362717
GSE91061	signed_IFNG	0.6320589133089134	0.503307157286169	0.6352173913043478	0.3857118108013901	0.6889851407384392
GSE91061	signed_PDCD1LG2	0.6399350071225072	0.5433565861969591	0.6043478260869566	0.5450698530245931	0.697320227736703
GSE91061	signed_CXCL9	0.5662326388888889	0.4441885676486061	0.6495652173913044	0.4002470535077532	0.6209203281408844
GSE91061	signed_MCP_CD8_T	0.551818465099715	0.4433951990973381	0.6269565217391304	0.48677126593025416	0.6053360511415384
GSE91061	signed_APM	0.6266528032153033	0.5059562186444985	0.6373913043478261	0.5257143753194469	0.6838201793649195
GSE91061	signed_PDL1_CD274	0.6065310846560846	0.49294060555423524	0.6208695652173913	0.4991192805866587	0.662221593194666
GSE91061	signed_IMPRES_template	0.5869842541717543	0.48806562352332794	0.6126086956521739	0.5470412825345502	0.6420179701305294
GSE91061	signed_HLA_DRA	0.6068280677655677	0.4996383063942963	0.5800000000000001	0.4111955356882526	0.6608099830852826
GSE91061	signed_CTLA4	0.5066143925518926	0.44673839135679644	0.6043478260869566	0.5079184819920282	0.5591687034240802
GSE91061	signed_CYT	0.5182965761090761	0.4354343531657404	0.5982608695652174	0.4949523049007372	0.5699813372456239
GSE91061	signed_PDCD1	0.523343699124949	0.42356822016283174	0.6043478260869566	0.4763918320447883	0.5747395014374385
GSE91061	signed_TLS	0.5208784849409849	0.45671453444075916	0.528695652173913	0.37404869760175835	0.5701489942717185
GSE91061	signed_MCP_fibroblast	0.5123581857956858	0.421783743877638	0.5504347826086957	0.5	0.5609691121200024
GSE91061	signed_MPS	0.5189128001628002	0.4315887458981882	0.551304347826087	0.5626029545675078	0.5680574548490139
GSE91061	signed_IPRES	0.40529482091982094	0.4075373581246689	0.528695652173913	0.28183378943154724	0.45210647143475
GSE91061	signed_C_ECM	0.4239933099308099	0.39250861160988904	0.5308695652173913	0.19575414959875215	0.4701622187721739
GSE91061	signed_TIDE_exclusion	0.42393607549857554	0.3855459870126669	0.5452173913043478	0.1984630340620036	0.47047424441442626
GSE91061	signed_ESCS	0.37974346255596253	0.35125121075148574	0.5226086956521739	0.24582707756149624	0.4234364578761455
