endpoint	stratum	holdout	model_name	selected_model	state	gene	direction	selection_frequency	training_abs_correlation	direction_stability	state_prior_seed	state_candidate_score
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	RILP,SCARF1	-1.0	0.26666666666666666	0.6656160906435411	1.0	0.0	0.9671677369291969
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	ZEB1	-1.0	0.24	0.13253392181592838	0.6666666666666666	1.0	1.5094652770235524
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc	B2M	1.0	0.6818181818181818	0.24682893619627436	1.0	1.0	1.8359457186640067
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc	HLA-A	1.0	0.5909090909090909	0.14007578656736994	1.0	1.0	1.7209245889082576
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc	PSMB8	1.0	0.2727272727272727	0.12144276920832435	1.0	1.0	1.5808484533108902
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc	TRAJ10	1.0	0.75	0.6296396874096398	1.0	0.0	0.9284049785572294
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	caf_ecm_exclusion	APOC1,APOC1P1	1.0	1.0	0.615843543085776	1.0	0.0	0.9135403294867299
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	caf_ecm_exclusion	COL1A1	1.0	0.6136363636363636	0.18365904269398503	1.0	1.0	1.7678833472731736
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	caf_ecm_exclusion	COL1A2	1.0	0.2727272727272727	0.15695372566045088	1.0	1.0	1.619109716271556
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	caf_ecm_exclusion	CXCL12	1.0	0.2727272727272727	0.01904949511857867	0.6666666666666666	1.0	1.507191536025859
