endpoint	stratum	holdout	train_cohorts	candidate	feature_family	penalty	C	n_features	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score	selected_candidate
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.03	module_signature_bio	l1	0.03	36	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.4974370333499254	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.1	module_signature_bio	l1	0.1	36	0.5474358974358975	0.047435897435897434	0.4344771334848736	0.49615384615384617	0.1699870901791789	0.5304752908472516	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l1_C0.3	module_signature_bio	l1	0.3	36	0.7090050300576616	0.11156913262176421	0.6070100604535196	0.5608821003557846	0.2700435168290879	0.6654590472855574	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l1_C1	module_signature_bio	l1	1.0	36	0.6419335050913999	0.04706171021960498	0.5295885660283584	0.5431082075818918	0.23196286521644954	0.6277224871810605	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.03	module_signature_bio	l2	0.03	36	0.7366887498466447	0.13412464728254203	0.6203476516736783	0.6681143417985523	0.26872119491009505	0.6887587292261548	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.1	module_signature_bio	l2	0.1	36	0.687731566678935	0.08260336155072995	0.579721006878448	0.5840387682492946	0.21722596840903302	0.6650200297425245	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l2_C0.3	module_signature_bio	l2	0.3	36	0.6421911421911422	0.03962703962703967	0.5482630151676186	0.6159121580174212	0.27988417444650127	0.6300169056282799	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_bio_l2_C1	module_signature_bio	l2	1.0	36	0.6096368543736965	0.0147650595019016	0.4997305946360713	0.5924181082075819	0.2573365190121018	0.6072478116449166	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.03	module_signature_edge	l1	0.03	50	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.48343703334992544	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.1	module_signature_edge	l1	0.1	50	0.5551282051282052	0.055128205128205154	0.41226477113672233	0.5153846153846153	0.17091534601301417	0.5189225085450534	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_edge_l1_C0.3	module_signature_edge	l1	0.3	50	0.7193473193473194	0.09883449883449885	0.5788912778321194	0.5980615875352717	0.2883932151142967	0.664463294822901	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_edge_l1_C1	module_signature_edge	l1	1.0	50	0.5519506808980493	0.036566065513434	0.43982242268880695	0.499481658692185	0.2749340866748704	0.5113838603435916	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_edge_l2_C0.03	module_signature_edge	l2	0.03	50	0.6830327567169673	0.07534044902465953	0.5571579809710282	0.6125352717457981	0.22844980021635475	0.6474376238565769	module_l2_C0.03
