cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
CY94CD45POS_1_E08_S152_comb	2.7877525394491878	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4131	205912
Cy80_II_CD45_H03_S951_comb	0.0	caf_ecm_exclusion	Mel80	CAF	treatment.naive	Tirosh	2848	32239
Cy72_CD45_H05_S761_comb	0.0	caf_ecm_exclusion	Mel72	B.cell	post.treatment	Tirosh	3245	235057
cy80_CD45_neg_D05_S905_comb	0.0	caf_ecm_exclusion	Mel80	Endo.	treatment.naive	Tirosh	4231	15090
cy84_Primary_CD45_pos_G11_S467_comb	0.0	caf_ecm_exclusion	Mel84	B.cell	treatment.naive	Tirosh	3339	139976
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E08_S1016_comb	0.1946120345608168	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2551	73014
cy80_Cd45_pos_PD1_pos_C08_S68_comb	3.2666894463798344	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	6389	212244
cy60_1_cd_45_pos_3_F10_S358_comb	0.0	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2459	43970
CY89A_CD45_POS_6_D07_S139_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3343	142478
cy80_Cd45_pos_Pd1_neg_S247_C07_S247_comb	0.324023433005736	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	3937	89626
cy80_CD45_pos_PD1_pos_G03_S171_comb	2.42130618317162	caf_ecm_exclusion	Mel80	T.CD8	treatment.naive	Tirosh	3042	41097
Cy72_CD45_G04_S748_comb	0.0	caf_ecm_exclusion	Mel72	?	post.treatment	Tirosh	2970	125716
cy80_CD_90_pos_A02_S866_comb	0.9149481898095899	caf_ecm_exclusion	Mel80	CAF	treatment.naive	Tirosh	7594	322825
CY88CD45POS_7_F04_S256_comb	0.0	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	2361	96510
cy88_cd45pos_5_E02_S242_comb	0.3304335953883604	caf_ecm_exclusion	Mel88	B.cell	post.treatment	Tirosh	3524	116959
cy94_cd45pos_B09_S117_comb	1.8485533191740138	caf_ecm_exclusion	Mel94	Macrophage	post.treatment	Tirosh	7326	650403
cy88_cd_45_pos_3_H12_S672_comb	3.802685107219368	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	10301	115334
Cy81_Bulk_CD45_C08_S128_comb	0.0	caf_ecm_exclusion	Mel81	?	treatment.naive	Tirosh	3682	304999
cy60_1_cd_45_pos_4_H01_S85_comb	1.0745277474513721	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	3336	92481
CY84_PRIM_POS_ALL_8_A01_S97_comb	2.255676792692126	caf_ecm_exclusion	Mel84	?	treatment.naive	Tirosh	10984	355170
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G12_S1044_comb	0.88816976820725	caf_ecm_exclusion	Mel60	T.cell	post.treatment	Tirosh	2023	58687
cy84_Met_CD45_pos_H05_S953_comb	1.2235223871446101	caf_ecm_exclusion	Mel84	B.cell	treatment.naive	Tirosh	2397	60684
CY94CD45POS_1_G12_S180_comb	1.15163931192135	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4392	415592
CY88CD45POS_2_G01_S457_comb	2.218092747067226	caf_ecm_exclusion	Mel88	?	post.treatment	Tirosh	2574	131762
cy53_1_CD45_pos_2_A10_S970_comb	0.13326042563461898	caf_ecm_exclusion	Mel53	Macrophage	treatment.naive	Tirosh	2518	125338
CY89A_Core_15_A10_S10_comb	0.86846827948631	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2876	44425
cy58_1_CD45_pos_F11_S647_comb	0.5232668338976915	caf_ecm_exclusion	Mel58	T.CD8	post.treatment	Tirosh	4857	182250
cy79_p4_CD45_neg_PDL1_neg_F05_S1121_comb	0.0	caf_ecm_exclusion	Mel79	Mal	treatment.naive	Tirosh	3963	148374
CY89A_Core_15_D02_S38_comb	1.228433667724444	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3161	139490
cy79_p3_CD45_pos_PD1_neg_G12_S180_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3635	212859
CY88CD45POS_7_G04_S268_comb	0.918335883387148	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	8207	1786183
