cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy105_CD45pos_calceinpos_S21	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3150	211931
cy106_CD45neg_CD90neg_S363_10	0.0	tnk_effector	Mel106	?	post.treatment	New	1989	2418969
cy105_CD45pos_calceinpos_S20	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	1964	19004
cy106_CD45pos_S220	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4685	1135106
cy106_CD45pos_S239	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4369	795888
cy105_CD45pos_calceinpos_S13	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3065	65664
cy105_CD45pos_calceinpos_S94	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	2075	73192
cy106_CD45neg_CD90neg_S309_11	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3890	1676257
cy106_CD45neg_CD90neg_S378_12	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3561	2205695
cy106_CD45pos_S263	1.0712358063684442	tnk_effector	Mel106	T.cell	post.treatment	New	1801	22529
cy106_CD45pos_S227	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3094	875416
cy106_CD45neg_CD90neg_S333	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3433	1090922
cy105_CD45pos_calceinpos_S88	0.026449559659688	tnk_effector	Mel105	B.cell	treatment.naive	New	4448	683670
cy105_CD45pos_calceinpos_S80	0.0	tnk_effector	Mel105	Macrophage	treatment.naive	New	3505	299350
cy106_CD45pos_S194	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3946	934650
cy106_CD45neg_CD90neg_S304	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2423	1648205
cy105_CD45pos_calceinpos_S54	2.216852594512584	tnk_effector	Mel105	T.CD8	treatment.naive	New	4024	725889
cy105_CD45pos_calceinpos_S15	0.384819977128148	tnk_effector	Mel105	Macrophage	treatment.naive	New	5759	922652
cy105_CD45neg_calceinpos_S152	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	4506	264123
cy105_CD45pos_calceinpos_S16	1.296256558762784	tnk_effector	Mel105	T.CD8	treatment.naive	New	4289	561766
cy106_CD45pos_S213	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3965	762168
cy106_CD45pos_S280	0.0	tnk_effector	Mel106	T.CD8	post.treatment	New	4379	973038
cy105_CD45pos_calceinpos_S90	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3880	592269
cy105_CD45pos_calceinpos_S41	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	4026	529713
cy105_CD45pos_calceinpos_S71	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4447	420630
cy105_CD45neg_calceinpos_S179	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	5358	687529
cy105_CD45pos_calceinpos_S9	0.0	tnk_effector	Mel105	T.CD8	treatment.naive	New	3946	327822
cy105_CD45pos_calceinpos_S61	0.0	tnk_effector	Mel105	T.CD8	treatment.naive	New	4316	759883
cy106_CD45neg_CD90neg_S369	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2357	1757036
cy106_CD45pos_S211	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	3904	699107
cy106_CD45pos_S269	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	2723	434623
cy106_CD45neg_CD90neg_S322	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3474	1044438
cy105_CD45pos_calceinpos_S4	5.829148597844034	tnk_effector	Mel105	NK	treatment.naive	New	4421	530505
cy106_CD45neg_CD90neg_S330	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2244	1363988
cy106_CD45neg_CD90neg_S316	0.0	tnk_effector	Mel106	Mal	post.treatment	New	4429	2480382
cy105_CD45pos_calceinpos_S75	2.446356781730818	tnk_effector	Mel105	T.CD8	treatment.naive	New	4428	747244
cy105_CD45pos_calceinpos_S49	3.018921027297682	tnk_effector	Mel105	T.CD8	treatment.naive	New	2843	139546
cy105_CD45pos_calceinpos_S3	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3091	71286
cy106_CD45pos_S261	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	4179	411837
cy105_CD45pos_calceinpos_S76	0.78692217079289	tnk_effector	Mel105	T.CD8	treatment.naive	New	3840	537889
cy106_CD45pos_S237	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3752	663157
cy105_CD45pos_calceinpos_S95	2.045906717027754	tnk_effector	Mel105	T.CD8	treatment.naive	New	4335	388094
cy105_CD45pos_calceinpos_S45	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	2893	115496
cy105_CD45pos_calceinpos_S6	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3998	461685
cy106_CD45pos_S256	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	3731	626487
cy105_CD45pos_calceinpos_S33	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	2860	148825
cy105_CD45pos_calceinpos_S89	0.808484672807443	tnk_effector	Mel105	Macrophage	treatment.naive	New	5969	1384511
cy105_CD45pos_calceinpos_S93	0.0	tnk_effector	Mel105	Macrophage	treatment.naive	New	5690	929127
cy106_CD45neg_CD90neg_S292	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3377	2385864
cy105_CD45pos_calceinpos_S77	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3858	479140
cy106_CD45pos_S216	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	2992	469268
cy105_CD45pos_calceinpos_S73	2.570771849815274	tnk_effector	Mel105	T.CD4	treatment.naive	New	4048	272422
cy105_CD45neg_calceinpos_S192	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	4969	510347
cy105_CD45pos_calceinpos_S82	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	2964	137331
cy105_CD45pos_calceinpos_S37	1.454393436546338	tnk_effector	Mel105	T.CD8	treatment.naive	New	4614	697018
cy106_CD45neg_CD90neg_S355	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3952	3631565
cy106_CD45pos_S234	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3450	792860
cy105_CD45pos_calceinpos_S31	7.275038179351699	tnk_effector	Mel105	NK	treatment.naive	New	3922	416133
cy105_CD45pos_calceinpos_S14	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4456	375909
cy105_CD45neg_calceinpos_S190	0.0	tnk_effector	Mel105	?	treatment.naive	New	1736	116319
cy105_CD45pos_calceinpos_S92	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	2951	164388
cy105_CD45pos_calceinpos_S23	2.29437331413438	tnk_effector	Mel105	T.CD8	treatment.naive	New	2043	44135
cy105_CD45pos_calceinpos_S53	0.0	tnk_effector	Mel105	Macrophage	treatment.naive	New	5130	928623
cy106_CD45pos_S197	6.530046050722726	tnk_effector	Mel106	T.CD8	post.treatment	New	3349	447905
cy105_CD45neg_calceinpos_S132	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	2955	501140
cy106_CD45neg_CD90neg_S336	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2163	895737
cy106_CD45pos_S285	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	3834	540839
cy106_CD45pos_S231	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	3037	791868
cy105_CD45pos_calceinpos_S69	0.0	tnk_effector	Mel105	T.CD8	treatment.naive	New	4654	373637
cy106_CD45neg_CD90neg_S317	0.0	tnk_effector	Mel106	CAF	post.treatment	New	1851	859197
cy105_CD45pos_calceinpos_S27	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4850	964670
cy105_CD45pos_calceinpos_S84	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	3458	228631
cy105_CD45pos_calceinpos_S60	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4227	330818
cy105_CD45pos_calceinpos_S8	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	2560	65086
cy105_CD45pos_calceinpos_S42	0.0	tnk_effector	Mel105	T.CD8	treatment.naive	New	3701	392820
cy106_CD45neg_CD90neg_S321	0.0	tnk_effector	Mel106	Mal	post.treatment	New	4871	1402027
cy106_CD45neg_CD90neg_S289_13	0.0	tnk_effector	Mel106	?	post.treatment	New	2195	3072416
cy105_CD45pos_calceinpos_S28	0.072802410711723	tnk_effector	Mel105	B.cell	treatment.naive	New	4156	696673
cy105_CD45neg_calceinpos_S189	0.0	tnk_effector	Mel105	?	treatment.naive	New	2730	698138
cy105_CD45pos_calceinpos_S38	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	4209	396227
cy105_CD45pos_calceinpos_S26	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3456	188125
cy105_CD45pos_calceinpos_S2	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4162	78876
cy106_CD45pos_S275	1.6791436686226038	tnk_effector	Mel106	T.CD4	post.treatment	New	3123	409269
cy105_CD45neg_calceinpos_S118	0.0	tnk_effector	Mel105	CAF	treatment.naive	New	1756	105340
cy105_CD45pos_calceinpos_S19	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	4361	182758
cy106_CD45neg_CD90neg_S300	0.0	tnk_effector	Mel106	Mal	post.treatment	New	4401	1073020
cy105_CD45pos_calceinpos_S25	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3435	191618
cy105_CD45pos_calceinpos_S91	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	3978	464112
cy106_CD45pos_S260	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	4511	979188
cy105_CD45pos_calceinpos_S59	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4330	356160
cy106_CD45pos_S283	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4223	840726
cy105_CD45pos_calceinpos_S78	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3390	426467
cy105_CD45pos_calceinpos_S7	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	4366	383401
cy106_CD45pos_S254	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4527	795317
cy105_CD45pos_calceinpos_S66	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3608	457265
cy106_CD45pos_S273	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4293	838459
cy106_CD45pos_S222	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4178	951259
cy105_CD45pos_calceinpos_S79	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3704	405111
cy106_CD45pos_S210	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4253	855822
cy106_CD45neg_CD90neg_S313	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3733	3464993
cy105_CD45pos_calceinpos_S81	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3709	404533
cy105_CD45pos_calceinpos_S64	1.410709163545596	tnk_effector	Mel105	T.CD8	treatment.naive	New	3884	562059
cy106_CD45neg_CD90neg_S365_14	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3853	1939443
cy105_CD45neg_calceinpos_S130	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	5216	375105
cy106_CD45pos_S235	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3677	621523
cy106_CD45neg_CD90neg_S357_15	0.0	tnk_effector	Mel106	CAF	post.treatment	New	3742	3538296
cy105_CD45pos_calceinpos_S11	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3202	180279
cy105_CD45neg_calceinpos_S182	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	6072	981583
cy105_CD45pos_calceinpos_S56	1.226223227109382	tnk_effector	Mel105	T.CD4	treatment.naive	New	3459	236977
cy106_CD45pos_S208	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3897	1410941
cy106_CD45neg_CD90neg_S354	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3384	1864382
cy105_CD45pos_calceinpos_S40	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3940	646008
cy106_CD45pos_S282	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	4043	1041586
cy105_CD45pos_calceinpos_S5	1.99499979360038	tnk_effector	Mel105	T.CD8	treatment.naive	New	4086	304444
cy105_CD45pos_calceinpos_S96	2.5937125156528333	tnk_effector	Mel105	T.CD8	treatment.naive	New	2732	164253
cy106_CD45pos_S230	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	3768	838841
cy105_CD45neg_calceinpos_S191	0.0	tnk_effector	Mel105	Endo.	treatment.naive	New	5465	609827
cy105_CD45pos_calceinpos_S50	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	4137	506821
cy106_CD45pos_S248	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	3585	253961
cy105_CD45pos_calceinpos_S52	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	4146	583071
cy105_CD45neg_calceinpos_S131	0.0	tnk_effector	Mel105	?	treatment.naive	New	3217	611300
cy105_CD45pos_calceinpos_S39	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	3987	464672
cy105_CD45pos_calceinpos_S17	1.464899121882916	tnk_effector	Mel105	T.CD8	treatment.naive	New	3971	347798
cy106_CD45pos_S264	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	4023	1170741
cy105_CD45pos_calceinpos_S87	0.0	tnk_effector	Mel105	T.CD8	treatment.naive	New	4158	611390
cy105_CD45pos_calceinpos_S29	0.027762893780456398	tnk_effector	Mel105	T.CD4	treatment.naive	New	4041	620167
cy105_CD45pos_calceinpos_S51	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	4349	590786
cy105_CD45pos_calceinpos_S1	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4651	385375
cy105_CD45neg_calceinpos_S108	0.0	tnk_effector	Mel105	?	treatment.naive	New	4527	399767
cy106_CD45pos_S252	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	3191	248449
cy106_CD45neg_CD90neg_S380	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3130	2714249
cy105_CD45pos_calceinpos_S86	0.0	tnk_effector	Mel105	T.CD4	treatment.naive	New	4502	345439
cy106_CD45pos_S242	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	4972	1274658
cy105_CD45pos_calceinpos_S18	1.272399278774266	tnk_effector	Mel105	T.CD8	treatment.naive	New	5201	912998
cy106_CD45neg_CD90neg_S350	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2858	1783696
cy106_CD45neg_CD90neg_S344_16	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2274	2569863
cy106_CD45pos_S215	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	2686	222263
cy106_CD45pos_S193	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	5679	1138877
cy105_CD45pos_calceinpos_S70	0.0897801902290256	tnk_effector	Mel105	T.cell	treatment.naive	New	3363	179992
cy106_CD45pos_S262	0.0	tnk_effector	Mel106	B.cell	post.treatment	New	2329	54712
cy106_CD45neg_CD90neg_S306_17	0.0	tnk_effector	Mel106	Mal	post.treatment	New	3247	2924943
cy106_CD45pos_S249	0.0	tnk_effector	Mel106	T.CD4	post.treatment	New	4972	572626
cy106_CD45pos_S251	0.9871485202912019	tnk_effector	Mel106	T.cell	post.treatment	New	3602	467234
cy106_CD45pos_S250	0.021135615578907398	tnk_effector	Mel106	B.cell	post.treatment	New	3784	704292
cy106_CD45pos_S201	1.4019119847261439	tnk_effector	Mel106	T.cell	post.treatment	New	3670	643587
cy105_CD45pos_calceinpos_S30	8.916947326491306	tnk_effector	Mel105	NK	treatment.naive	New	3918	497703
cy106_CD45pos_S244	0.0	tnk_effector	Mel106	T.cell	post.treatment	New	2884	148516
cy105_CD45pos_calceinpos_S85	0.805572355070902	tnk_effector	Mel105	T.CD4	treatment.naive	New	4296	635622
cy106_CD45neg_CD90neg_S295	0.0	tnk_effector	Mel106	Mal	post.treatment	New	2156	1159494
cy105_CD45pos_calceinpos_S55	0.0	tnk_effector	Mel105	T.cell	treatment.naive	New	3926	505584
cy105_CD45pos_calceinpos_S83	0.0	tnk_effector	Mel105	B.cell	treatment.naive	New	4475	628993
cy105_CD45pos_calceinpos_S62	0.8379628564223236	tnk_effector	Mel105	T.CD8	treatment.naive	New	4533	587835
cy106_CD45neg_CD90neg_S368	0.0	tnk_effector	Mel106	Mal	post.treatment	New	1919	2136997
cy110_CD45neg_CD90neg_S12	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7884	423887
cy110_CD45neg_CD90neg_S60	0.0	tnk_effector	Mel110	Mal	post.treatment	New	8306	821111
cy110_CD45neg_CD90neg_S56	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7805	1038467
cy110_CD45neg_CD90neg_S86	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7594	369799
cy98_CD45pos_1_S202	5.879834216726304	tnk_effector	Mel98	T.CD8	post.treatment	New	4768	1280604
cy112_CD45neg_CD90neg_S128	0.0	tnk_effector	Mel112	Mal	treatment.naive	New	2163	3027166
cy98_CD45pos_1_S200	8.658720144699233	tnk_effector	Mel98	T.CD8	post.treatment	New	5173	1285769
cy98_CD45pos_2_S310	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	4803	891408
cy98_CD45pos_2_S318	3.2536954006579797	tnk_effector	Mel98	T.CD8	post.treatment	New	3618	276680
cy98_CD45pos_1_S231	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4177	593510
cy98_CD45pos_2_S319	5.493758192930274	tnk_effector	Mel98	NK	post.treatment	New	4066	489359
cy112_CD45neg_CD90neg_S112	0.0	tnk_effector	Mel112	CAF	treatment.naive	New	7306	4174766
cy110_CD45neg_CD90neg_S11	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6924	158576
cy110_CD45neg_CD90neg_S29	0.0	tnk_effector	Mel110	Mal	post.treatment	New	3002	10810
cy112_CD45neg_CD90neg_S137	0.0	tnk_effector	Mel112	Mal	treatment.naive	New	2633	3863311
cy98_CD45pos_2_S347	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	2937	190074
cy110_CD45neg_CD90neg_S45	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6314	105762
cy98_CD45pos_2_S326	6.890832317129901	tnk_effector	Mel98	T.CD8	post.treatment	New	4259	623225
cy98_CD45pos_2_S376	1.0446536155056498	tnk_effector	Mel98	T.CD4	post.treatment	New	4387	808973
cy98_CD45pos_2_S304	2.827972117961894	tnk_effector	Mel98	T.CD8	post.treatment	New	3723	535869
cy98_CD45pos_2_S315	1.723631576711822	tnk_effector	Mel98	T.CD8	post.treatment	New	4521	611532
cy98_CD45pos_2_S349	0.0	tnk_effector	Mel98	T.CD8	post.treatment	New	3761	711744
cy98_CD45pos_2_S362	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	3527	191432
cy98_CD45pos_1_S233	0.0542851352185868	tnk_effector	Mel98	Macrophage	post.treatment	New	3859	617449
cy110_CD45neg_CD90neg_S72	1.8018213566657324	tnk_effector	Mel110	Mal	post.treatment	New	7033	346167
cy98_CD45pos_1_S197	4.631998758159418	tnk_effector	Mel98	T.CD8	post.treatment	New	4398	829698
cy98_CD45pos_1_S223	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	5744	1433613
cy98_CD45pos_1_S201	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4225	542769
cy110_CD45neg_CD90neg_S8	0.0	tnk_effector	Mel110	Mal	post.treatment	New	4976	44811
cy98_CD45pos_2_S369	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4126	455537
cy110_CD45neg_CD90neg_S35	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6936	166455
cy98_CD45pos_1_S240	0.0	tnk_effector	Mel98	?	post.treatment	New	1992	577961
cy110_CD45neg_CD90neg_S42	0.0	tnk_effector	Mel110	Mal	post.treatment	New	5631	69119
cy98_CD45pos_2_S382	5.767364857612128	tnk_effector	Mel98	T.CD8	post.treatment	New	4725	881165
cy98_CD45pos_1_S237	0.528401671451424	tnk_effector	Mel98	T.CD4	post.treatment	New	3508	452305
cy98_CD45pos_2_S295	7.064515197387427	tnk_effector	Mel98	T.CD8	post.treatment	New	3677	341253
cy98_CD45pos_1_S236	1.2559208014167185	tnk_effector	Mel98	T.cell	post.treatment	New	3345	553606
cy98_CD45pos_1_S208	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4640	1212666
cy112_CD45neg_CD90neg_S121	0.0	tnk_effector	Mel112	CAF	treatment.naive	New	2408	3232491
cy112_CD45neg_CD90neg_S143	0.0	tnk_effector	Mel112	CAF	treatment.naive	New	2704	4713048
cy110_CD45neg_CD90neg_S52	0.01952215932528446	tnk_effector	Mel110	Mal	post.treatment	New	9197	2799530
cy98_CD45pos_2_S345	1.0368322510528318	tnk_effector	Mel98	T.CD4	post.treatment	New	4860	768316
cy110_CD45neg_CD90neg_S61	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6265	137558
cy98_CD45pos_2_S375	2.199635681488598	tnk_effector	Mel98	T.CD8	post.treatment	New	3746	515546
cy98_CD45pos_2_S339	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	5738	839247
cy112_CD45neg_CD90neg_S110	0.00599657324314286	tnk_effector	Mel112	Mal	treatment.naive	New	7551	3123986
cy98_CD45pos_2_S312	2.400666275718022	tnk_effector	Mel98	T.cell	post.treatment	New	3840	618302
cy98_CD45pos_2_S327	3.747892796452858	tnk_effector	Mel98	T.CD8	post.treatment	New	5176	465539
cy98_CD45pos_2_S308	1.300800119904892	tnk_effector	Mel98	T.cell	post.treatment	New	3637	338579
cy98_CD45pos_2_S305	4.728590853381484	tnk_effector	Mel98	T.CD8	post.treatment	New	4142	515177
cy98_CD45pos_2_S378	6.208540159509976	tnk_effector	Mel98	T.CD8	post.treatment	New	3433	288516
cy98_CD45pos_2_S329	3.8347657697216304	tnk_effector	Mel98	T.CD8	post.treatment	New	4281	478757
cy98_CD45pos_2_S332	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	2768	946169
cy98_CD45pos_1_S198	0.06668474674503841	tnk_effector	Mel98	T.CD8	post.treatment	New	4305	799123
cy110_CD45neg_CD90neg_S7	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6220	101182
cy98_CD45pos_2_S293	6.442121549647122	tnk_effector	Mel98	T.CD8	post.treatment	New	3825	530194
cy98_CD45pos_1_S212	6.896759905558142	tnk_effector	Mel98	T.CD8	post.treatment	New	4511	1197713
cy110_CD45neg_CD90neg_S34	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6451	110025
cy112_CD45neg_CD90neg_S126	0.0	tnk_effector	Mel112	Mal	treatment.naive	New	3801	4087372
cy98_CD45pos_2_S309	0.0	tnk_effector	Mel98	T.CD4	post.treatment	New	4507	862978
cy110_CD45neg_CD90neg_S46	0.0	tnk_effector	Mel110	Mal	post.treatment	New	5632	92768
cy110_CD45neg_CD90neg_S78	0.0	tnk_effector	Mel110	Mal	post.treatment	New	8123	626535
cy98_CD45pos_2_S323	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	3311	548216
cy98_CD45pos_1_S216	1.148902192104758	tnk_effector	Mel98	T.cell	post.treatment	New	4155	848574
cy98_CD45pos_2_S313	0.361635816754294	tnk_effector	Mel98	T.cell	post.treatment	New	3745	633617
cy98_CD45pos_1_S209	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	4902	1609937
cy98_CD45pos_2_S351	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	5629	1031350
cy98_CD45pos_2_S301	4.873642556563018	tnk_effector	Mel98	T.CD8	post.treatment	New	4252	893643
cy98_CD45pos_1_S219	4.6101077021999455	tnk_effector	Mel98	T.CD8	post.treatment	New	5285	1729435
cy110_CD45neg_CD90neg_S62	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7688	341196
cy98_CD45pos_2_S334	6.497082354243341	tnk_effector	Mel98	T.CD8	post.treatment	New	3928	487908
cy98_CD45pos_2_S303	2.136357911139128	tnk_effector	Mel98	T.cell	post.treatment	New	3970	559188
cy98_CD45pos_2_S352	7.556759342138777	tnk_effector	Mel98	T.CD8	post.treatment	New	4117	717815
cy98_CD45pos_2_S292	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	5227	961365
cy98_CD45pos_2_S366	0.1064135104578062	tnk_effector	Mel98	T.CD4	post.treatment	New	3795	288268
cy98_CD45pos_1_S204	0.9923802198098899	tnk_effector	Mel98	T.CD4	post.treatment	New	4662	1030421
cy112_CD45neg_CD90neg_S170	0.0	tnk_effector	Mel112	Mal	treatment.naive	New	2064	3359737
cy98_CD45pos_2_S290	4.210021337530238	tnk_effector	Mel98	T.CD8	post.treatment	New	4374	714477
cy98_CD45pos_1_S218	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	7422	2619664
cy98_CD45pos_2_S360	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4011	440545
cy98_CD45pos_1_S210	1.693847414663884	tnk_effector	Mel98	T.CD8	post.treatment	New	4532	1392767
cy98_CD45pos_2_S344	1.6851568782990198	tnk_effector	Mel98	T.CD8	post.treatment	New	3521	254695
cy98_CD45pos_2_S335	5.534593565366162	tnk_effector	Mel98	T.CD8	post.treatment	New	4330	617018
cy110_CD45neg_CD90neg_S74	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7930	665304
cy110_CD45neg_CD90neg_S26	0.0	tnk_effector	Mel110	Mal	post.treatment	New	4380	86511
cy112_CD45neg_CD90neg_S171_18	0.00458008042201576	tnk_effector	Mel112	CAF	treatment.naive	New	7266	4057979
cy98_CD45pos_2_S299	4.5587839085325	tnk_effector	Mel98	T.CD8	post.treatment	New	5205	652238
cy110_CD45neg_CD90neg_S17	0.0	tnk_effector	Mel110	Mal	post.treatment	New	2790	10763
cy98_CD45pos_2_S297	0.0205987986646652	tnk_effector	Mel98	Macrophage	post.treatment	New	5192	785222
cy98_CD45pos_1_S215	0.0	tnk_effector	Mel98	T.CD4	post.treatment	New	4688	1127492
cy98_CD45pos_2_S314	0.9224587031476499	tnk_effector	Mel98	T.CD4	post.treatment	New	5932	1141877
cy98_CD45pos_2_S380	1.097214148747134	tnk_effector	Mel98	Macrophage	post.treatment	New	5193	874343
cy98_CD45pos_1_S195	5.078902202190806	tnk_effector	Mel98	T.CD8	post.treatment	New	4798	1272492
cy98_CD45pos_2_S356	5.851391235523728	tnk_effector	Mel98	T.CD8	post.treatment	New	4067	471667
cy98_CD45pos_1_S213	3.792184266109942	tnk_effector	Mel98	T.CD8	post.treatment	New	4428	888284
cy98_CD45pos_2_S307	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	5240	724929
cy98_CD45pos_2_S300	0.0	tnk_effector	Mel98	T.CD8	post.treatment	New	4778	458827
cy98_CD45pos_2_S336	7.512538202376757	tnk_effector	Mel98	NK	post.treatment	New	4163	389731
cy98_CD45pos_2_S331	0.0	tnk_effector	Mel98	Macrophage	post.treatment	New	5994	690429
cy98_CD45pos_1_S194	5.761736647843979	tnk_effector	Mel98	T.CD8	post.treatment	New	6151	1960449
cy110_CD45neg_CD90neg_S92	0.0	tnk_effector	Mel110	Mal	post.treatment	New	7999	590606
cy98_CD45pos_2_S365	0.0	tnk_effector	Mel98	T.cell	post.treatment	New	4197	652246
cy98_CD45pos_2_S296	4.143149610036606	tnk_effector	Mel98	T.CD8	post.treatment	New	5955	973956
cy110_CD45neg_CD90neg_S80	0.0	tnk_effector	Mel110	Mal	post.treatment	New	6328	586412
