endpoint	stratum	holdout	candidate	selection_score	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	weights
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_exclusion_context_0.75	0.7767301161368447	0.7062231628021102	0.5672824287201559	0.656750705434916	0.2424147111009417	0.13827444485339224	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.75}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_prior	0.7013369239643931	0.6305860805860806	0.5370622862934893	0.5274725274725275	0.32149524445175737	0.017765567765567758	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_0.250	0.7274950850062375	0.6442307692307692	0.556667457513274	0.6524725274725274	0.28034298107727174	0.04807692307692307	"{""CYT"": -0.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_0.375	0.7429412649721602	0.6685897435897437	0.5796640121989938	0.5869047619047618	0.26023304745907766	0.0814102564102564	"{""CYT"": -0.375, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_0.500	0.7662901931911479	0.6901098901098901	0.5846596402068465	0.6733516483516484	0.2775269390645987	0.1093406593406594	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_0.625	0.7860148060265097	0.7097985347985347	0.6010317066314056	0.6885531135531135	0.24372247420513518	0.14184981684981685	"{""CYT"": -0.625, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_0.750	0.7653150651445897	0.7044871794871795	0.5772877780260555	0.6184065934065934	0.26562064306367544	0.16089743589743588	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_cytotoxic_penalty_1.000	0.733284285660109	0.6883699633699634	0.5657237767107031	0.551007326007326	0.2805915428202355	0.19349816849816853	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.25_cytpen_0.50	0.7362647023533344	0.6569597069597068	0.5627540516071446	0.6326007326007326	0.2986418266085975	0.051831501831501814	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	rank_module_dysfunction_0.25_cytpen_0.75	0.7886253671905586	0.7062271062271062	0.6166515082854904	0.6919413919413919	0.25420736018942724	0.11520146520146518	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
