endpoint	cohort	blend_id	blend_type	axis	AUROC	AUPRC	balanced_accuracy	threshold	n_samples	n_responders	n_nonresponders
strict_recist	GSE145996	0.65*cohort_gene_percentile+0.35*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.48896021071049267	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.65*cohort_gene_percentile+0.35*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6420454545454546	0.5958657605238392	0.6191287878787879	0.48896021071049267	103	48	55
strict_recist	GSE145996	0.70*cohort_gene_percentile+0.30*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.49098830798549187	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.70*cohort_gene_percentile+0.30*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6424242424242425	0.5957640027589977	0.6113636363636363	0.49098830798549187	103	48	55
strict_recist	GSE145996	0.75*cohort_gene_percentile+0.25*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.49526259140983253	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.75*cohort_gene_percentile+0.25*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6420454545454546	0.5953123982668375	0.6113636363636363	0.49526259140983253	103	48	55
strict_recist	GSE145996	0.80*cohort_gene_percentile+0.20*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.5012189934947746	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.80*cohort_gene_percentile+0.20*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.640530303030303	0.5935879028157086	0.6113636363636363	0.5012189934947746	103	48	55
strict_recist	GSE145996	0.85*cohort_gene_percentile+0.15*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.85	0.8956845238095238	0.8375	0.507170930380918	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.85*cohort_gene_percentile+0.15*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6390151515151515	0.5925207184624534	0.6113636363636363	0.507170930380918	103	48	55
