candidate	group	external_AUROC	external_AUPRC	external_BA	primary_AUROC	primary_AUPRC	primary_BA
0.80*base+0.20*z__CD79A	strict_phs_gse	0.6773809523809524	0.6935498910890824	0.6113095238095239	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*z__CD79A	phs_only	0.6465909090909091	0.6489477086254886	0.6007575757575758	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*z__CD79A	gse145996_only	0.875	0.9206845238095238	0.7125	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*rz__CD79A	strict_phs_gse	0.6735119047619047	0.6936975361066352	0.6113095238095239	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*rz__CD79A	phs_only	0.6465909090909091	0.6489477086254886	0.6007575757575758	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*rz__CD79A	gse145996_only	0.875	0.9206845238095238	0.7125	0.7746700188560655	0.6777245798391627	0.7118164676304211
0.80*base+0.20*z__ICOS	strict_phs_gse	0.6895833333333333	0.6974134900169572	0.6309523809523809	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*z__ICOS	phs_only	0.6621212121212122	0.6531573867902974	0.6255681818181817	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*z__ICOS	gse145996_only	0.875	0.9206845238095238	0.7125	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*rz__ICOS	strict_phs_gse	0.6901785714285714	0.697859103301026	0.6309523809523809	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*rz__ICOS	phs_only	0.6621212121212122	0.6531573867902974	0.6255681818181817	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*rz__ICOS	gse145996_only	0.9	0.9317956349206349	0.7125	0.7746700188560653	0.6763015250593849	0.6458202388434946
0.80*base+0.20*pct__LAX1	strict_phs_gse	0.6720238095238095	0.6857341298299026	0.6083333333333334	0.7743557510999372	0.6730310765318289	0.6847894406033941
0.80*base+0.20*pct__LAX1	phs_only	0.659469696969697	0.6519988472429158	0.5954545454545455	0.7743557510999372	0.6730310765318289	0.6847894406033941
0.80*base+0.20*pct__LAX1	gse145996_only	0.85	0.908531746031746	0.75	0.7743557510999372	0.6730310765318289	0.6847894406033941
0.80*base+0.20*z__IFNG	strict_phs_gse	0.6699404761904763	0.6807576152092162	0.5869047619047619	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*z__IFNG	phs_only	0.640530303030303	0.6374710084089372	0.5757575757575758	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*z__IFNG	gse145996_only	0.875	0.9206845238095238	0.65	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*rz__IFNG	strict_phs_gse	0.6633928571428571	0.6792557695930591	0.5958333333333333	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*rz__IFNG	phs_only	0.6378787878787879	0.6357314139132046	0.5770833333333334	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*rz__IFNG	gse145996_only	0.875	0.9206845238095238	0.75	0.7743557510999372	0.6656951886406388	0.6964173475801383
0.80*base+0.20*pct__CXCL9	strict_phs_gse	0.6614583333333333	0.6830546052374189	0.5476190476190476	0.774355751099937	0.674373181104025	0.63073538654934
0.80*base+0.20*pct__CXCL9	phs_only	0.6481060606060607	0.6523268475042573	0.5356060606060606	0.774355751099937	0.674373181104025	0.63073538654934
0.80*base+0.20*pct__CXCL9	gse145996_only	0.85	0.908531746031746	0.65	0.774355751099937	0.674373181104025	0.63073538654934
0.80*base+0.20*z__LCK	strict_phs_gse	0.6800595238095238	0.6987287288455141	0.5904761904761905	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*z__LCK	phs_only	0.6515151515151516	0.6585254212485455	0.5732954545454545	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*z__LCK	gse145996_only	0.9	0.9317956349206349	0.7125	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*rz__LCK	strict_phs_gse	0.6800595238095238	0.6988555756828873	0.5904761904761905	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*rz__LCK	phs_only	0.6515151515151516	0.6585254212485455	0.5732954545454545	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*rz__LCK	gse145996_only	0.9	0.9317956349206349	0.7125	0.774041483343809	0.6805703503745619	0.6934318038969202
0.80*base+0.20*z__CCR4	strict_phs_gse	0.6752976190476191	0.6897183544061581	0.6178571428571429	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*z__CCR4	phs_only	0.6568181818181819	0.6600722068070036	0.6049242424242424	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*z__CCR4	gse145996_only	0.875	0.9206845238095238	0.775	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*rz__CCR4	strict_phs_gse	0.6607142857142858	0.6798007476589704	0.6005952380952382	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*rz__CCR4	phs_only	0.6568181818181819	0.6600722068070036	0.6049242424242424	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*rz__CCR4	gse145996_only	0.7749999999999999	0.8895833333333334	0.6125	0.7737272155876808	0.6753403466736303	0.7253299811439347
0.80*base+0.20*z__PLA2G2D	strict_phs_gse	0.7017857142857142	0.7084048642734425	0.6083333333333334	0.7734129478315526	0.6780425061562453	0.6664047768698931
0.80*base+0.20*z__PLA2G2D	phs_only	0.6738636363636364	0.6668836416215144	0.5941287878787879	0.7734129478315526	0.6780425061562453	0.6664047768698931
0.80*base+0.20*z__PLA2G2D	gse145996_only	0.875	0.9206845238095238	0.7125	0.7734129478315526	0.6780425061562453	0.6664047768698931
0.80*base+0.20*pct__CD247	strict_phs_gse	0.6736607142857143	0.6946021522571302	0.5916666666666667	0.7734129478315525	0.672438933362472	0.6855751099937146
0.80*base+0.20*pct__CD247	phs_only	0.6458333333333335	0.6542557844598206	0.5759469696969697	0.7734129478315525	0.672438933362472	0.6855751099937146
0.80*base+0.20*pct__CD247	gse145996_only	0.9	0.9317956349206349	0.7125	0.7734129478315525	0.672438933362472	0.6855751099937146
0.65*base+0.35*pct__PLA2G2D	strict_phs_gse	0.6995535714285714	0.7150802315349357	0.6476190476190476	0.7730986800754244	0.6711590077004893	0.6285355122564424
0.65*base+0.35*pct__PLA2G2D	phs_only	0.6916666666666667	0.7006259293905462	0.64375	0.7730986800754244	0.6711590077004893	0.6285355122564424
0.65*base+0.35*pct__PLA2G2D	gse145996_only	0.825	0.8865936147186148	0.7125	0.7730986800754244	0.6711590077004893	0.6285355122564424
0.50*base+0.50*pct__GCH1	strict_phs_gse	0.6110119047619048	0.6322164953591465	0.6214285714285714	0.7730986800754243	0.6871045030521528	0.6836895034569453
0.50*base+0.50*pct__GCH1	phs_only	0.6007575757575758	0.5980663161653135	0.6047348484848485	0.7730986800754243	0.6871045030521528	0.6836895034569453
0.50*base+0.50*pct__GCH1	gse145996_only	0.75	0.8816287878787878	0.8125	0.7730986800754243	0.6871045030521528	0.6836895034569453
0.80*base+0.20*pct__IFNG	strict_phs_gse	0.6544642857142857	0.6725669554688635	0.5684523809523809	0.7730986800754243	0.6719975243454899	0.6356065367693274
0.80*base+0.20*pct__IFNG	phs_only	0.6310606060606061	0.6338494847511095	0.5526515151515151	0.7730986800754243	0.6719975243454899	0.6356065367693274
0.80*base+0.20*pct__IFNG	gse145996_only	0.9	0.9415178571428572	0.7125	0.7730986800754243	0.6719975243454899	0.6356065367693274
0.80*base+0.20*pct__MAP4K1	strict_phs_gse	0.6720238095238096	0.6783379691018036	0.6291666666666667	0.7727844123192961	0.675133230970504	0.7302011313639221
0.80*base+0.20*pct__MAP4K1	phs_only	0.640530303030303	0.6286966205398178	0.6215909090909091	0.7727844123192961	0.675133230970504	0.7302011313639221
0.80*base+0.20*pct__MAP4K1	gse145996_only	0.925	0.9526289682539683	0.7125	0.7727844123192961	0.675133230970504	0.7302011313639221
0.65*base+0.35*z__IKZF3	strict_phs_gse	0.6741071428571428	0.6920639902344294	0.5815476190476191	0.772784412319296	0.6621646509068885	0.73585795097423
0.65*base+0.35*z__IKZF3	phs_only	0.6465909090909091	0.6577703406850643	0.5732954545454545	0.772784412319296	0.6621646509068885	0.73585795097423
0.65*base+0.35*z__IKZF3	gse145996_only	0.875	0.9206845238095238	0.65	0.772784412319296	0.6621646509068885	0.73585795097423
0.80*base+0.20*pct__P2RY10	strict_phs_gse	0.6720238095238096	0.6871580754335526	0.6	0.7724701445631678	0.6647662629745485	0.6675047140163419
0.80*base+0.20*pct__P2RY10	phs_only	0.6405303030303031	0.6484840625238064	0.5759469696969697	0.7724701445631678	0.6647662629745485	0.6675047140163419
0.80*base+0.20*pct__P2RY10	gse145996_only	0.925	0.9526289682539683	0.8125	0.7724701445631678	0.6647662629745485	0.6675047140163419
base_rescue_robust	strict_phs_gse	0.6860119047619048	0.6892418361322834	0.6738095238095239	0.7723130106851037	0.654114787887294	0.6555625392834695
base_rescue_robust	phs_only	0.6518939393939395	0.6376761933000892	0.6528409090909091	0.7723130106851037	0.654114787887294	0.6555625392834695
base_rescue_robust	gse145996_only	0.875	0.9206845238095238	0.8375	0.7723130106851037	0.654114787887294	0.6555625392834695
