endpoint	stratum	holdout	model_name	selected_model	edge_id	source_state	target_state	gene_a	gene_b	edge_class
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|tumor_dedifferentiation|GNLY|TRAJ1|coexpression_network	tnk_effector	tumor_dedifferentiation	GNLY	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tumor_dedifferentiation|tumor_dedifferentiation|IGHGP|IGKV1-17|coexpression_network	tumor_dedifferentiation	tumor_dedifferentiation	IGHGP	IGKV1-17	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tumor_dedifferentiation|tumor_dedifferentiation|IGKV1-17|TRAJ1|coexpression_network	tumor_dedifferentiation	tumor_dedifferentiation	IGKV1-17	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|antigen_presentation_mhc|PSMB9|TAP2|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	PSMB9	TAP2	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|antigen_presentation_mhc|IGHD2-2|TRAJ1|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	IGHD2-2	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|caf_ecm_exclusion|TRAJ1|IGKV4-1|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	TRAJ1	IGKV4-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|caf_ecm_exclusion|TRAJ1|IGLV2-11|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	TRAJ1	IGLV2-11	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|myeloid_suppression|LOC101927356|LOC101927356|coexpression_network	antigen_presentation_mhc	myeloid_suppression	LOC101927356	LOC101927356	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|myeloid_suppression|LOC102724050|LOC101927356|coexpression_network	antigen_presentation_mhc	myeloid_suppression	LOC102724050	LOC101927356	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|tcell_dysfunction|TRAJ1|TRAJ1|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	TRAJ1	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|tcell_dysfunction|LOC102724050|LOC102724050|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	LOC102724050	LOC102724050	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|tnk_effector|PSMB9|IFNG|coexpression_network	antigen_presentation_mhc	tnk_effector	PSMB9	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|tnk_effector|TRAJ1|IGKV4-1|coexpression_network	antigen_presentation_mhc	tnk_effector	TRAJ1	IGKV4-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordUnsignedGraph	word_unsigned_graph	antigen_presentation_mhc|tumor_dedifferentiation|IGHD2-2|IGLV1-40|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	IGHD2-2	IGLV1-40	coexpression_network
