AUROC	AUPRC	balanced_accuracy	MCC	F1	Brier	cohort	model_name	endpoint	n_samples	n_features
0.5052083333333333	0.18972097110136288	0.5208333333333333	0.03390317518104052	0.2608695652173913	0.240493642867815	GSE176307	ML_LightGBM	response_positive_primary_recist	88	225
0.6785714285714286	0.6527777777777778	0.5	0.0	0.5333333333333333	0.4758364948772977	GSE67501	ML_Logistic_L2	response_positive_primary_recist	11	225
0.4642857142857143	0.41875	0.5	0.0	0.5333333333333333	0.2534402699200848	GSE67501	ML_Logistic_L1	response_positive_primary_recist	11	225
0.4642857142857143	0.40638528138528135	0.5	0.0	0.0	0.24557198603625202	GSE67501	ML_RandomForest	response_positive_primary_recist	11	225
0.17857142857142858	0.28733766233766234	0.2857142857142857	-0.4629100498862757	0.0	0.26542127037710705	GSE67501	ML_ExtraTrees	response_positive_primary_recist	11	225
0.17857142857142858	0.3047979797979798	0.5	0.0	0.0	0.25750890374183655	GSE67501	ML_XGBoost	response_positive_primary_recist	11	225
0.2857142857142857	0.329004329004329	0.5	0.0	0.5333333333333333	0.31286535253064607	GSE67501	ML_LightGBM	response_positive_primary_recist	11	225
0.4835164835164836	0.5876903566399364	0.4532967032967033	-0.10649990234442497	0.2857142857142857	0.3105510444819562	GSE78220	ML_Logistic_L2	response_positive_primary_recist	27	225
0.5384615384615384	0.6057938803051585	0.49725274725274726	-0.010482848367219183	0.125	0.250185499318691	GSE78220	ML_Logistic_L1	response_positive_primary_recist	27	225
0.36813186813186816	0.5307700982490898	0.5	0.0	0.0	0.30659012537805064	GSE78220	ML_RandomForest	response_positive_primary_recist	27	225
0.39010989010989006	0.5180726180054344	0.5357142857142857	0.1889822365046136	0.13333333333333333	0.3010411479268549	GSE78220	ML_ExtraTrees	response_positive_primary_recist	27	225
0.4835164835164835	0.6074510757969404	0.5	0.0	0.0	0.3475860059261322	GSE78220	ML_XGBoost	response_positive_primary_recist	27	225
0.5054945054945055	0.62474106601705	0.5302197802197802	0.07774288420142415	0.3157894736842105	0.26934309094674685	GSE78220	ML_LightGBM	response_positive_primary_recist	27	225
0.5153846153846153	0.2277529875413171	0.5166666666666666	0.028647985456347027	0.32558139534883723	0.32500666077143375	GSE91061	ML_Logistic_L2	response_positive_primary_recist	49	225
0.6282051282051282	0.2943457263478302	0.5128205128205128	0.07308816827558576	0.3448275862068966	0.25519569795566305	GSE91061	ML_Logistic_L1	response_positive_primary_recist	49	225
0.45641025641025645	0.19306840328645603	0.35641025641025637	-0.23388213848187445	0.12903225806451613	0.24128100237990016	GSE91061	ML_RandomForest	response_positive_primary_recist	49	225
0.5256410256410257	0.3071433020471256	0.5051282051282051	0.008410342670623601	0.3076923076923077	0.2560589768250012	GSE91061	ML_ExtraTrees	response_positive_primary_recist	49	225
0.4692307692307693	0.19420123690424024	0.41025641025641024	-0.20672455764868078	0.0	0.2188141644001007	GSE91061	ML_XGBoost	response_positive_primary_recist	49	225
0.441025641025641	0.1988407025781488	0.4653846153846154	-0.06488435258195314	0.2978723404255319	0.294184765882799	GSE91061	ML_LightGBM	response_positive_primary_recist	49	225
0.6588888888888889	0.5880769663498806	0.5916666666666667	0.18909389514744546	0.5074626865671642	0.2967617163587427	GSE93157	ML_Logistic_L2	response_positive_primary_recist	65	225
0.5377777777777778	0.34828828795182254	0.5222222222222223	0.04868644955601476	0.45714285714285713	0.25121002594344133	GSE93157	ML_Logistic_L1	response_positive_primary_recist	65	225
0.5933333333333334	0.39419353271075014	0.5833333333333334	0.198262896429536	0.375	0.2265492535566598	GSE93157	ML_RandomForest	response_positive_primary_recist	65	225
0.5688888888888889	0.43879437206729327	0.5111111111111111	0.021081851067789197	0.35555555555555557	0.23671398928998896	GSE93157	ML_ExtraTrees	response_positive_primary_recist	65	225
0.5733333333333334	0.3648704501987373	0.5166666666666667	0.057735026918962574	0.16	0.21862000226974487	GSE93157	ML_XGBoost	response_positive_primary_recist	65	225
0.5444444444444445	0.3632806002438863	0.5583333333333333	0.12780193008453875	0.4857142857142857	0.2823441551899166	GSE93157	ML_LightGBM	response_positive_primary_recist	65	225
