endpoint	stratum	ablation_model	n_samples	full_AUROC	ablation_AUROC	delta_AUROC	full_AUPRC	ablation_AUPRC	full_ECE	ablation_ECE	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
primary_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordUnsignedGraph	238	0.6310715609936967	0.6383388950685948	-0.007267334074898102	0.5391022103105416	0.5433074500808917	0.26229547844264145	0.2966635254673599	-0.0073687450225701796	-0.016220114283741878	0.0011604201736713107	0.084	0.1157142857142857	component_not_supported
primary_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoInteraction	238	0.6310715609936967	0.6310715609936967	0.0	0.5391022103105416	0.5387748068151377	0.26229547844264145	0.26267081775343226	2.8605560020446006e-05	-0.0008602805233591471	0.0008631049484369379	0.978	0.978	component_not_supported
primary_recist	melanoma_core_plus_phs000452	EcoNiche-Opt-WordNoBioObjective	238	0.6310715609936967	0.6307007786429366	0.00037078235076004606	0.5391022103105416	0.5378817731553511	0.26229547844264145	0.2610667115611802	0.0004621198414374108	-0.003990133913296973	0.00471971050311584	0.82	0.868235294117647	point_estimate_component_gain
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordUnsignedGraph	131	0.6808823529411765	0.7034313725490197	-0.022549019607843168	0.5752625467134295	0.5950486529025721	0.22055649879791983	0.21190165824353974	-0.022820617867678337	-0.043074920520346255	-0.00213964346927118	0.032	0.11520000000000001	component_not_supported
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoInteraction	131	0.6808823529411765	0.682843137254902	-0.0019607843137254832	0.5752625467134295	0.5774539284108763	0.22055649879791983	0.22010245669823683	-0.002053728451345706	-0.005637254901960764	0.000472812294497368	0.144	0.1851428571428571	component_not_supported
primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordNoBioObjective	131	0.6808823529411765	0.6818627450980392	-0.0009803921568627416	0.5752625467134295	0.572098732749194	0.22055649879791983	0.21472788765331843	-0.0010786518179023287	-0.008151888730836184	0.005626864876385279	0.76	0.76	component_not_supported
primary_recist	pan_cancer_response_all	EcoNiche-Opt-WordUnsignedGraph	554	0.6447175141242938	0.6495762711864407	-0.00485875706214689	0.5093455049169425	0.5106687180641858	0.29930028335038983	0.3254849342623577	-0.004858379847472738	-0.010701785993126586	0.0008039698076071131	0.08	0.1176	component_not_supported
primary_recist	pan_cancer_response_all	EcoNiche-Opt-WordNoInteraction	554	0.6447175141242938	0.6451129943502825	-0.0003954802259886758	0.5093455049169425	0.5091642523466248	0.29930028335038983	0.30066359314313673	-0.00041360835286753086	-0.0011275147564059895	0.00026733512590953177	0.234	0.23400000000000004	component_not_supported
primary_recist	pan_cancer_response_all	EcoNiche-Opt-WordNoBioObjective	554	0.6447175141242938	0.642132768361582	0.0025847457627118375	0.5093455049169425	0.5137672842806148	0.29930028335038983	0.30303589662291924	0.0026405094978901437	-0.00032655995582195617	0.005655854657882478	0.078	0.1176	point_estimate_component_gain
primary_recist	pan_cancer_without_secondary	EcoNiche-Opt-WordNoInteraction	369	0.6468593135259801	0.6470967304300637	-0.00023741690408352056	0.4490036492402111	0.4492870627447981	0.27376219658779866	0.2726515800888798	-0.00024030296360597224	-0.0008594456900268943	0.00034609570259038457	0.462	0.5928	component_not_supported
