endpoint	cohort	analysis_type	model_name	n_samples	n_responders	n_nonresponders	threshold_source	threshold_training_cohorts	threshold	calibration	training_AUROC	training_balanced_accuracy	platform	treatment	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	AUROC_ci_low	AUROC_ci_high	AUROC_ci_bootstrap_n
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	TIG	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5806448475523057	discovery_only_platt	0.5973372781065088	0.5807692307692307		Nivo;PEM;Pem	0.5555555555555556	0.7833231583231584	0.6111111111111112	0.5	0.3042903097250923	0.3636363636363636	0.2222222222222222	1.0	1.0	0.4166666666666667	0.2422823430366719	0.1628706421265494	1.3276456156401877	0.6108896123663559	0.2119318181818182	0.8751893939393938	999
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	TIDE_dysfunction	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.468811248482587	discovery_only_platt	0.5985207100591717	0.5884615384615385		Nivo;PEM;Pem	0.6666666666666666	0.8300705467372136	0.5777777777777777	0.5714285714285714	0.1490711984999859	0.625	0.5555555555555556	0.6	0.7142857142857143	0.4285714285714285	0.2291017059953556	0.1420914649878448	3.6016633249862915	0.8180594770973695	0.35	0.95	996
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	APM	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.47387024081963	discovery_only_platt	0.6529585798816568	0.6403846153846153		Nivo;PEM;Pem	0.5111111111111111	0.7484746734746734	0.4777777777777778	0.5	-0.0430331482911935	0.5882352941176471	0.5555555555555556	0.4	0.625	0.3333333333333333	0.2720411626419588	0.1467010258631752	-0.2676593813243101	0.5936495890771021	0.1870738636363636	0.8444444444444444	998
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	CYT	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4672620582197981	discovery_only_platt	0.5603550295857989	0.576923076923077		Nivo;PEM;Pem	0.7111111111111111	0.8689033189033191	0.5333333333333333	0.5714285714285714	0.0666666666666666	0.6666666666666666	0.6666666666666666	0.4	0.6666666666666666	0.4	0.2330097533527627	0.1726300374341841	6.113170202928467	0.8434019694489955	0.37749999999999995	0.9584183673469389	997
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	IPRES	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4789108862586735	discovery_only_platt	0.5242603550295859	0.5576923076923077		Nivo;PEM;Pem	0.5555555555555555	0.7438450438450439	0.3888888888888889	0.5	-0.3042903097250923	0.6666666666666666	0.7777777777777778	0.0	0.5833333333333334	0.0	0.2469130127096248	0.1427758430164969	4.991144175400356	0.6107538399812005	0.20833333333333337	0.9113888888888887	999
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	TIDE_exclusion	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4809752830942262	discovery_only_platt	0.5325443786982249	0.5538461538461539		Nivo;PEM;Pem	0.5777777777777777	0.705892255892256	0.4888888888888889	0.5714285714285714	-0.0259499648053841	0.7	0.7777777777777778	0.2	0.6363636363636364	0.3333333333333333	0.2493230563437667	0.1952303972199889	1.183547523029698	0.5889143952462643	0.21212121212121215	0.9166666666666666	998
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	EcoNiche-Opt-HeuristicEcology-LockedPanel	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4866388147907647	discovery_only_platt	0.6428994082840236	0.6423076923076922		anti-PD-1	0.5829201101928375	0.6495006794445877	0.5727272727272728	0.5702479338842975	0.1449760752585499	0.5806451612903226	0.5454545454545454	0.6	0.6206896551724138	0.5238095238095238	0.2446401348642005	0.074863610443839	0.7153161228029349	0.1774222913608647	0.47456947662199284	0.6864755639097744	1000
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	IFNG	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5435787909056865	discovery_only_platt	0.6038461538461539	0.5903846153846154		anti-PD-1	0.5931129476584023	0.6722498200010829	0.5757575757575758	0.5619834710743802	0.1576259974703196	0.5137614678899083	0.4242424242424242	0.7272727272727273	0.6511627906976745	0.5128205128205128	0.2422661452708576	0.0456752421561898	0.9965314022854052	0.1812047727004574	0.4913845726970033	0.6936599777034559	1000
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	CXCL9	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4461541291872711	discovery_only_platt	0.6091715976331361	0.6000000000000001		anti-PD-1	0.6134986225895317	0.6993616082716241	0.5287878787878788	0.5454545454545454	0.0617677994118028	0.6308724832214765	0.7121212121212122	0.3454545454545454	0.5662650602409639	0.5	0.2401330642454049	0.0742375395774797	1.0724602010441229	0.1808071058300618	0.5130958062826707	0.7108025364751164	1000
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	TIG	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5806448475523057	discovery_only_platt	0.5973372781065088	0.5807692307692307		anti-PD-1	0.5895316804407713	0.6695584874641041	0.5681818181818181	0.5371900826446281	0.1828000043330372	0.3488372093023256	0.2272727272727272	0.9090909090909092	0.75	0.495049504950495	0.2429516324642034	0.0605869001921121	1.0746311640478905	0.182248319289157	0.47925070028011213	0.683913209259675	1000
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	TIDE_dysfunction	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.468811248482587	discovery_only_platt	0.5985207100591717	0.5884615384615385		anti-PD-1	0.5826446280991736	0.6730479023803051	0.5575757575757576	0.5619834710743802	0.1153423214383878	0.6015037593984962	0.6060606060606061	0.509090909090909	0.5970149253731343	0.5185185185185185	0.2415988969896826	0.0479759256855021	1.2081738796316943	0.1865370595381467	0.4825082580201892	0.6835272336359294	1000
clinical_benefit	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	APM	121	66	55	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.47387024081963	discovery_only_platt	0.6529585798816568	0.6403846153846153		anti-PD-1	0.5738292011019285	0.6320376005000717	0.5303030303030303	0.5371900826446281	0.061113233135214	0.5882352941176471	0.6060606060606061	0.4545454545454545	0.5714285714285714	0.4901960784313725	0.24543493242307	0.0969665780165847	0.6549261323587442	0.1794966725178156	0.47194617706237424	0.6744612816106802	1000
